Product Category,Product Link,Name,New Price,Old Price,Discount,Image Source
Coolbell,http://yayvo.com/cb-3136-waterproof-15-6a-inch-laptop-business-backpack-blue-2.html,CB 3136 Waterproof 15.6³ Inch Laptop Business Backpack Blue,"Rs.2,344","Rs.3,047",23%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/2/f21f6a84808c5537ffc22efc240850f9_3.jpg
AL-KAREEM,http://yayvo.com/ipazzport-wireless-2-4ghz-92-key-keyboard.html,IPazzport Wireless 2.4GHz 92-Key Keyboard,"Rs.1,199",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/0/f02e6af38ddd14eac8112ef587e0c386_1.jpg
Muzammil Store,http://yayvo.com/lenovo-b210-laptop-backpack-15-6-inch-casual-backpack-black-3.html,Lenovo B210 Laptop Backpack 15.6 Inch Casual Backpack - Black,"Rs.1,999",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/1/2/12481850464e50fb2bc4869ef1b1ec8c_3.jpg
Living Style,http://yayvo.com/laptop-bags-sleeve-notebook-case-for-13-inch-black-3.html,Laptop Bags Sleeve Notebook Case For 13 Inch Black,"Rs.1,850",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/7/77ddadcba041720d1b233f69877ec08b_5.jpg
Red Dragon,http://yayvo.com/redragon-gaming-mouse-m602-1-nemeanlion.html,REDRAGON GAMING MOUSE M602-1 NEMEANLION,"Rs.1,800","Rs.3,300",45%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/1/d/1d69e946718d2195c1143af67cf4723b_1.jpg
Dicota,http://yayvo.com/laptop-bag-black-7.html,Laptop Bag-Black,Rs.890,"Rs.1,300",32%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/5/a5b2d31c35f66d0d6db2a61204ce8bf1.jpg
PQWH,http://yayvo.com/waterproof-shower-speaker-scratches-on-product-3.html,Waterproof Shower Speaker Scratches on Product Unsealed,Rs.999,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/7/a7812a53dfbdb8e97fcdbddd80059144_1.jpg
Living Style,http://yayvo.com/easy-cap-4-port-usb-converter-black-2.html,Easy Cap - 4 Port USB Converter - BLACK,Rs.890,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/9/2/92c05bfe15aae6e7270d5c194cf6c4ce_13.jpg
PQWH,http://yayvo.com/ptcl-3g-nitro-cloud-scratches-on-product-3.html,PTCL 3G Nitro Cloud Scratches on Product Unsealed,Rs.699,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/9/5/952e58f71fea39736a3939f362ea73d0_1.jpg
Living Style,http://yayvo.com/laptop-side-sleeves-15-inch-black-3.html,Laptop Side Sleeves 15 Inch - Black,Rs.690,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/a/aa6606768c015a2ea27360b9a211f58a_5.jpg
UmerBaba,http://yayvo.com/w1209-temperature-controller-3.html,W1209 Temperature Controller,Rs.400,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/a/7affe4f728b3e3cd34078b40fa6e2a0a_1.jpg
GulAhmed,http://yayvo.com/white-unstitched-3-pcs-lawn-suit-lsv-14-195979.html,White Unstitched 3 pcs Lawn Suit-LSV-14 -195979,"Rs.12,905",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/c/3/c3c0c0655e025be768d7ce04ee968711_2.jpg
Zellbury,http://yayvo.com/multicolour-unstitched-3-pcs-suit-224.html,Multicolour Unstitched 3 PCS Suit,"Rs.2,790",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/c/9/c9e0c5c05fcea52241c2c43aa78b2cd1_1.jpg
GulAhmed,http://yayvo.com/green-unstitched-digital-printed-shirtdupatta-bottom.html,Green Unstitched Digital Printed ShirtDupatta & Bottom,"Rs.3,335",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/6/3/63056f3653d776ca24ce55a958147371_1.jpg
GulAhmed,http://yayvo.com/d-green-unstitched-3-pcs-lawn-suit-cl-479-a-195499.html,D.Green Unstitched 3 pcs Lawn Suit-CL-479 A -195499,"Rs.3,215",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/c/fcb4fed4c02e3fbab5ea3acca9cf70b5_1.jpg
Zardi,http://yayvo.com/flower-metal-ring-for-women-silver-ar49.html,Flower Metal Ring For Women - Silver - AR49,Rs.399,Rs.499,20%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/8/d82fe6fd758b2be69b2c8d0cf526bdd6_1.png
Zellbury,http://yayvo.com/pre-festive-unstitched-19-lawn-3-pcs-suit-multi-color-zwusce319145.html,Pre Festive Unstitched '19-Lawn-3 Pcs Suit-Multi Color-Zwusce319145,"Rs.2,290",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/6/76ba85ff9303a18595da634592fa517c.jpg
Khas stores,http://yayvo.com/unstitched-embroidered-3-pcs-multi-lawn-suit-kla-9071.html,Unstitched Embroidered 3 - Pcs Multi Lawn Suit - KLA-9052,"Rs.1,988","Rs.2,338",15%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/4/b/4be7e6c8a0e6e2932cc631c8c1406060_1.jpg
Khas stores,http://yayvo.com/3-pcs-unstitched-khaddar-suit-emerald-royality-kkh-14036.html,3 Pcs Unstitched Khaddar Suit Emerald Royality Kkh-14036,"Rs.4,199",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/9/e/9e735f13e53893ba0650be362fc14a3d.jpg
